date,dish_name,category,units_sold,unit_price,unit_cogs,daily_labor_cost,daily_rent_share,avg_wait_minutes,customer_count
2026-03-01,Latte,Coffee,43,5.0,1.121,423.84,200.0,4.8,178
2026-03-01,Cappuccino,Coffee,38,5.0,1.032,423.84,200.0,6.2,178
2026-03-01,Espresso,Coffee,37,3.5,0.818,423.84,200.0,6.0,178
2026-03-01,Croissant,Pastry,33,4.0,1.177,423.84,200.0,6.2,178
2026-03-01,Muffin,Pastry,30,3.5,0.937,423.84,200.0,6.4,178
2026-03-01,Avocado Toast,Sandwich,26,9.0,3.078,423.84,200.0,4.3,178
2026-03-01,Turkey Club,Sandwich,6,11.0,4.236,423.84,200.0,5.1,178
2026-03-01,Veggie Wrap,Sandwich,23,8.5,2.754,423.84,200.0,4.3,178
2026-03-01,Caesar Salad,Salad,19,10.0,4.424,423.84,200.0,3.6,178
2026-03-01,Garden Salad,Salad,13,9.0,2.527,423.84,200.0,3.7,178
2026-03-02,Latte,Coffee,38,5.0,1.119,422.93,200.0,2.6,142
2026-03-02,Cappuccino,Coffee,25,5.0,1.056,422.93,200.0,2.8,142
2026-03-02,Espresso,Coffee,28,3.5,0.792,422.93,200.0,2.2,142
2026-03-02,Croissant,Pastry,27,4.0,1.179,422.93,200.0,3.0,142
2026-03-02,Muffin,Pastry,26,3.5,0.953,422.93,200.0,2.8,142
2026-03-02,Avocado Toast,Sandwich,19,9.0,3.078,422.93,200.0,3.8,142
2026-03-02,Turkey Club,Sandwich,10,11.0,4.093,422.93,200.0,3.4,142
2026-03-02,Veggie Wrap,Sandwich,5,8.5,2.808,422.93,200.0,4.3,142
2026-03-02,Caesar Salad,Salad,23,10.0,4.556,422.93,200.0,3.8,142
2026-03-02,Garden Salad,Salad,13,9.0,2.482,422.93,200.0,3.8,142
2026-03-03,Latte,Coffee,37,5.0,1.1,404.93,200.0,2.7,160
2026-03-03,Cappuccino,Coffee,32,5.0,1.048,404.93,200.0,2.3,160
2026-03-03,Espresso,Coffee,26,3.5,0.777,404.93,200.0,1.8,160
2026-03-03,Croissant,Pastry,37,4.0,1.231,404.93,200.0,2.3,160
2026-03-03,Muffin,Pastry,27,3.5,0.946,404.93,200.0,2.0,160
2026-03-03,Avocado Toast,Sandwich,23,9.0,2.993,404.93,200.0,4.2,160
2026-03-03,Turkey Club,Sandwich,14,11.0,4.079,404.93,200.0,4.0,160
2026-03-03,Veggie Wrap,Sandwich,14,8.5,2.801,404.93,200.0,4.8,160
2026-03-03,Caesar Salad,Salad,23,10.0,4.516,404.93,200.0,4.1,160
2026-03-03,Garden Salad,Salad,8,9.0,2.532,404.93,200.0,3.9,160
2026-03-04,Latte,Coffee,38,5.0,1.118,401.47,200.0,3.5,166
2026-03-04,Cappuccino,Coffee,28,5.0,1.029,401.47,200.0,1.4,166
2026-03-04,Espresso,Coffee,20,3.5,0.793,401.47,200.0,2.2,166
2026-03-04,Croissant,Pastry,42,4.0,1.175,401.47,200.0,1.7,166
2026-03-04,Muffin,Pastry,26,3.5,0.955,401.47,200.0,3.4,166
2026-03-04,Avocado Toast,Sandwich,21,9.0,3.069,401.47,200.0,3.4,166
2026-03-04,Turkey Club,Sandwich,12,11.0,4.27,401.47,200.0,3.5,166
2026-03-04,Veggie Wrap,Sandwich,19,8.5,2.791,401.47,200.0,4.0,166
2026-03-04,Caesar Salad,Salad,30,10.0,4.459,401.47,200.0,3.4,166
2026-03-04,Garden Salad,Salad,14,9.0,2.583,401.47,200.0,4.9,166
2026-03-05,Latte,Coffee,33,5.0,1.076,417.74,200.0,2.1,150
2026-03-05,Cappuccino,Coffee,30,5.0,1.057,417.74,200.0,3.2,150
2026-03-05,Espresso,Coffee,18,3.5,0.767,417.74,200.0,2.5,150
2026-03-05,Croissant,Pastry,38,4.0,1.179,417.74,200.0,2.3,150
2026-03-05,Muffin,Pastry,28,3.5,0.951,417.74,200.0,2.3,150
2026-03-05,Avocado Toast,Sandwich,15,9.0,3.133,417.74,200.0,4.7,150
2026-03-05,Turkey Club,Sandwich,15,11.0,4.208,417.74,200.0,4.1,150
2026-03-05,Veggie Wrap,Sandwich,21,8.5,2.752,417.74,200.0,3.9,150
2026-03-05,Caesar Salad,Salad,21,10.0,4.528,417.74,200.0,4.6,150
2026-03-05,Garden Salad,Salad,7,9.0,2.447,417.74,200.0,3.7,150
2026-03-06,Latte,Coffee,49,5.0,1.068,408.95,200.0,3.6,156
2026-03-06,Cappuccino,Coffee,30,5.0,1.089,408.95,200.0,4.0,156
2026-03-06,Espresso,Coffee,18,3.5,0.805,408.95,200.0,3.4,156
2026-03-06,Croissant,Pastry,37,4.0,1.219,408.95,200.0,2.7,156
2026-03-06,Muffin,Pastry,25,3.5,0.924,408.95,200.0,2.4,156
2026-03-06,Avocado Toast,Sandwich,11,9.0,3.066,408.95,200.0,4.2,156
2026-03-06,Turkey Club,Sandwich,18,11.0,4.23,408.95,200.0,4.0,156
2026-03-06,Veggie Wrap,Sandwich,5,8.5,2.958,408.95,200.0,5.0,156
2026-03-06,Caesar Salad,Salad,26,10.0,4.431,408.95,200.0,3.4,156
2026-03-06,Garden Salad,Salad,15,9.0,2.524,408.95,200.0,3.1,156
2026-03-07,Latte,Coffee,63,5.0,1.101,431.69,200.0,5.6,210
2026-03-07,Cappuccino,Coffee,34,5.0,1.053,431.69,200.0,6.5,210
2026-03-07,Espresso,Coffee,34,3.5,0.803,431.69,200.0,5.9,210
2026-03-07,Croissant,Pastry,40,4.0,1.208,431.69,200.0,6.6,210
2026-03-07,Muffin,Pastry,33,3.5,0.944,431.69,200.0,5.7,210
2026-03-07,Avocado Toast,Sandwich,28,9.0,3.181,431.69,200.0,4.3,210
2026-03-07,Turkey Club,Sandwich,19,11.0,4.237,431.69,200.0,4.9,210
2026-03-07,Veggie Wrap,Sandwich,19,8.5,2.783,431.69,200.0,4.0,210
2026-03-07,Caesar Salad,Salad,27,10.0,4.394,431.69,200.0,4.4,210
2026-03-07,Garden Salad,Salad,19,9.0,2.559,431.69,200.0,4.4,210
2026-03-08,Latte,Coffee,50,5.0,1.114,442.94,200.0,5.4,176
2026-03-08,Cappuccino,Coffee,45,5.0,1.024,442.94,200.0,5.4,176
