order_id,order_ts,table_id,server_name,menu_category,item_name,quantity,unit_price,total,payment_type
ORD-000001,2025-05-01 17:41:00,5,Alex,Drink,Sparkling Water,1,4.0,4.0,Cash
ORD-000001,2025-05-01 17:41:00,5,Alex,Main,Margherita Pizza,2,16.0,32.0,Cash
ORD-000001,2025-05-01 17:41:00,5,Alex,Drink,Craft Beer,1,7.0,7.0,Cash
ORD-000002,2025-05-01 13:05:00,12,Casey,Drink,House Wine,1,9.0,9.0,Mobile
ORD-000002,2025-05-01 13:05:00,12,Casey,Dessert,Cheesecake,1,8.0,8.0,Mobile
ORD-000002,2025-05-01 13:05:00,12,Casey,Main,Veggie Bowl,1,13.0,13.0,Mobile
ORD-000003,2025-05-01 12:09:00,15,Robin,Main,Veggie Bowl,1,13.0,13.0,Mobile
ORD-000003,2025-05-01 12:09:00,15,Robin,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000003,2025-05-01 12:09:00,15,Robin,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000004,2025-05-01 18:09:00,17,Sam,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000004,2025-05-01 18:09:00,17,Sam,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000005,2025-05-01 13:48:00,1,Robin,Drink,Coffee,1,4.0,4.0,Mobile
ORD-000005,2025-05-01 13:48:00,1,Robin,Drink,House Wine,1,9.0,9.0,Mobile
ORD-000006,2025-05-01 17:39:00,10,Casey,Drink,Sparkling Water,1,4.0,4.0,Mobile
ORD-000006,2025-05-01 17:39:00,10,Casey,Main,Burger,1,14.0,14.0,Mobile
ORD-000006,2025-05-01 17:39:00,10,Casey,Main,Margherita Pizza,1,16.0,16.0,Mobile
ORD-000007,2025-05-01 17:14:00,17,Alex,Drink,House Wine,1,9.0,9.0,Card
ORD-000007,2025-05-01 17:14:00,17,Alex,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000007,2025-05-01 17:14:00,17,Alex,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000008,2025-05-01 11:46:00,15,Robin,Main,Grilled Salmon,1,24.0,24.0,Card
